token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO068	0	0	0	vabbè	vabbè	_	_	_	_	_	linguistic	_	none	_	Begin=0.13	_	_	_	_
0-1	TO068	0	0	1	quindi	quindi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	TO068	0	0	2	benvenu:ti:,	benvenuti	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=1.454	6x1,8x1	_	_	_
1-0	TO068	1	1	0	e:::hm	ehm	_	_	_	_	_	linguistic	_	none	_	Begin=1.67|End=2.446	0x3	_	_	_
2-0	TO068	2	2	0	allora,	allora	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	Begin=2.74|End=3.388	_	_	_	_
3-0	TO068	3	3	0	e::hm	ehm	_	_	_	_	_	linguistic	_	none	_	Begin=3.772|End=4.908	0x2	_	_	_
4-0	TO068	4	4	0	io	io	_	_	_	_	_	linguistic	_	none	_	Begin=5.545	_	_	_	_
4-1	TO068	4	4	1	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	TO068	4	4	2	questo	questo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	TO068	4	4	3	punto,	punto	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=6.87	_	_	_	_
5-0	TO068	5	5	0	vi	vi	_	_	_	_	_	linguistic	_	none	_	Begin=7.321	_	_	_	_
5-1	TO068	5	5	1	chiederei,	chiederei	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
5-2	TO068	5	5	2	anche	anche	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	TO068	5	5	3	se	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	TO068	5	5	4	siete	siete	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	TO068	5	5	5	tanti,	tanti	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
5-6	TO068	5	5	6	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-7	TO068	5	5	7	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-8	TO068	5	5	8	metteremo	metteremo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-9	TO068	5	5	9	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-10	TO068	5	5	10	po',	po'	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=10.774	_	_	_	_
6-0	TO068	6	6	0	ma	ma	_	_	_	_	_	linguistic	_	none	_	Begin=11.318	_	_	_	_
6-1	TO068	6	6	1	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	TO068	6	6	2	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-3	TO068	6	6	3	piacere	piacere	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-4	TO068	6	6	4	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-5	TO068	6	6	5	conoscervi,	conoscervi	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=13.214	_	_	_	_
7-0	TO068	7	7	0	anche	anche	_	_	_	_	_	linguistic	_	none	_	Begin=13.233	_	_	_	_
7-1	TO068	7	7	1	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	TO068	7	7	2	farmi	farmi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	TO068	7	7	3	un'	un'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
7-4	TO068	7	7	4	idea,	idea	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
7-5	TO068	7	7	5	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-6	TO068	7	7	6	chi	chi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-7	TO068	7	7	7	sie:te,	siete	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=15.707	2x1	_	_	_
8-0	TO068	8	8	0	e:::,	e	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	Begin=15.766	0x3	_	_	_
8-1	TO068	8	8	1	vorrei	vorrei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-2	TO068	8	8	2	anche	anche	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-3	TO068	8	8	3	orientare	orientare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-4	TO068	8	8	4	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-5	TO068	8	8	5	corso,	corso	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=18.727	_	_	_	_
9-0	TO068	9	9	0	cioè	cioè	_	_	_	_	_	linguistic	_	none	_	Begin=18.83	_	_	_	_
9-1	TO068	9	9	1	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	TO068	9	9	2	bisogno	bisogno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-3	TO068	9	9	3	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-4	TO068	9	9	4	orientare	orientare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-5	TO068	9	9	5	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-6	TO068	9	9	6	corso,	corso	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
9-7	TO068	9	9	7	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-8	TO068	9	9	8	base	base	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-9	TO068	9	9	9	alle	alle	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-10	TO068	9	9	10	vostre,	vostre	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising|PauseAfter=Yes	_	_	_	_	_
9-11	TO068	9	9	11	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
9-12	TO068	9	9	12	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-13	TO068	9	9	13	esigenze,	esigenze	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
9-14	TO068	9	9	14	anche,	anche	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=23.948	_	_	_	_
10-0	TO068	10	10	0	cioè	cioè	_	_	_	_	_	linguistic	_	none	_	Begin=23.978	_	_	_	_
10-1	TO068	10	10	1	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-2	TO068	10	10	2	base	base	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-3	TO068	10	10	3	al	al	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-4	TO068	10	10	4	profilo	profilo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-5	TO068	10	10	5	anche	anche	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-6	TO068	10	10	6	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-7	TO068	10	10	7	avete,	avete	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=26.012	_	_	_	_
11-0	TO068	11	11	0	perché	perché	_	_	_	_	_	linguistic	_	none	_	Begin=26.068	_	_	_	_
11-1	TO068	11	11	1	questa	questa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-2	TO068	11	11	2	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-3	TO068	11	11	3	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-4	TO068	11	11	4	triennale	triennale	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-5	TO068	11	11	5	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-6	TO068	11	11	6	specificamente	specificamente	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-7	TO068	11	11	7	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-8	TO068	11	11	8	moda,	moda	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=29.001	_	_	_	_
12-0	TO068	12	12	0	io	io	_	_	_	_	_	linguistic	_	none	_	Begin=29.349	_	_	_	_
12-1	TO068	12	12	1	vengo	vengo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-2	TO068	12	12	2	da	da	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-3	TO068	12	12	3	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-4	TO068	12	12	4	triennale	triennale	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-5	TO068	12	12	5	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-6	TO068	12	12	6	moda,	moda	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
12-7	TO068	12	12	7	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-8	TO068	12	12	8	cui	cui	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-9	TO068	12	12	9	si	si	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-10	TO068	12	12	10	studia	studia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-11	TO068	12	12	11	quasi	quasi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-12	TO068	12	12	12	solo	solo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-13	TO068	12	12	13	moda,	moda	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=32.779	_	_	_	_
13-0	TO068	13	13	0	quindi	quindi	_	_	_	_	_	linguistic	_	none	_	Begin=32.844	_	_	_	_
13-1	TO068	13	13	1	gli	gli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-2	TO068	13	13	2	studenti,	studenti	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
13-3	TO068	13	13	3	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-4	TO068	13	13	4	abbastanza	abbastanza	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-5	TO068	13	13	5	preparati.	preparati	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=35.259	_	_	_	_
14-0	TO068	14	14	0	qui,	qui	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	Begin=35.671	_	_	_	_
14-1	TO068	14	14	1	io,	io	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
14-2	TO068	14	14	2	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-3	TO068	14	14	3	conosco	conosco	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-4	TO068	14	14	4	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-5	TO068	14	14	5	vostre	vostre	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-6	TO068	14	14	6	preparazioni	preparazioni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-7	TO068	14	14	7	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-8	TO068	14	14	8	base,	base	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
14-9	TO068	14	14	9	magari	magari	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-10	TO068	14	14	10	no::n,	non	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=39.629	1x2	_	_	_
15-0	TO068	15	15	0	c'	c'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	Begin=39.694	_	_	_	_
15-1	TO068	15	15	1	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-2	TO068	15	15	2	chi	chi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
