token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO002	0	0	0	okay	okay	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=1.456	_	_	_	_
0-1	TO002	0	0	1	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-2	TO002	0	0	2	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	TO002	0	0	3	piacerebbe::	piacerebbe	_	_	_	_	_	linguistic	_	none	_	End=3.031	9x2	_	_	_
1-0	TO002	1	1	0	non	non	_	_	_	_	_	linguistic	_	none	_	Begin=3.081	_	_	_	_
1-1	TO002	1	1	1	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	TO002	1	1	2	ricordo	ricordo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	TO002	1	1	3	mica	mica	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-4	TO002	1	1	4	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-5	TO002	1	1	5	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-6	TO002	1	1	6	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-7	TO002	1	1	7	suo	suo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-8	TO002	1	1	8	nome:	nome	_	_	_	_	_	linguistic	_	none	_	End=4.506	3x1	_	_	_
2-0	TO003	2	2	0	è	è	_	_	_	_	_	linguistic	_	none	_	Begin=4.506	_	_	_	_
2-1	TO003	2	2	1	mario	mario	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	TO003	2	2	2	ro[ssi]	rossi	_	_	_	_	_	linguistic	_	none	_	End=5.412	_	_	_	2-5(0)
