token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO017	0	0	0	li	li	_	_	_	_	_	linguistic	_	none	_	Begin=0.01	_	_	_	_
0-1	TO017	0	0	1	confrontiamo	confrontiamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	TO017	0	0	2	tutti:,	tutti	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	4x1	_	_	_
0-3	TO017	0	0	3	e	e	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
0-4	TO017	0	0	4	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-5	TO017	0	0	5	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	TO017	0	0	6	domanda	domanda	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	TO017	0	0	7	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-8	TO017	0	0	8	riusciamo	riusciamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-9	TO017	0	0	9	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-10	TO017	0	0	10	trovare	trovare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-11	TO017	0	0	11	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-12	TO017	0	0	12	serie	serie	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-13	TO017	0	0	13	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-14	TO017	0	0	14	tratti	tratti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-15	TO017	0	0	15	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-16	TO017	0	0	16	serie	serie	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-17	TO017	0	0	17	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-18	TO017	0	0	18	strutture,	strutture	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=5.21	_	_	_	_
1-0	TO017	1	1	0	comuni	comuni	_	_	_	_	_	linguistic	_	none	_	Begin=5.64	_	_	_	_
1-1	TO017	1	1	1	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	TO017	1	1	2	tutti	tutti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	TO017	1	1	3	questi	questi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-4	TO017	1	1	4	dialetti	dialetti	_	_	_	_	_	linguistic	_	none	_	End=8.119	_	_	_	_
2-0	TO017	2	2	0	mh,	mh	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	Begin=8.28|End=8.549	_	_	_	_
3-0	TO017	3	3	0	tutti	tutti	_	_	_	_	_	linguistic	_	none	_	Begin=8.6	_	_	_	_
3-1	TO017	3	3	1	i	i	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	TO017	3	3	2	dialetti	dialetti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	TO017	3	3	3	ce	ce	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	TO017	3	3	4	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
3-5	TO017	3	3	5	hanno	hanno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	TO017	3	3	6	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-7	TO017	3	3	7	attenzione	attenzione	_	_	_	_	_	linguistic	_	none	_	End=10.64	_	_	_	_
4-0	TO017	4	4	0	a	a	_	_	_	_	_	linguistic	_	none	_	Begin=10.685	_	_	_	_
