token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO104	0	avanti,	avanti	linguistic	none	Intonation=weakly_rising	Begin=15.33|End=15.933	_	_	_	_
1-0	BO104	1	salve	salve	linguistic	none	_	Begin=18.691	_	_	_	_
1-1	BO104	1	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
1-2	BO104	1	sì	sì	linguistic	none	_	_	_	_	_	_
1-3	BO104	1	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
1-4	BO104	1	e::h	eh	linguistic	none	ProsodicLink=Yes	_	0x2	_	_	_
1-5	BO104	1	m:h	mh	linguistic	none	_	_	0x1	_	_	_
1-6	BO104	1	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
1-7	BO104	1	dunque,	dunque	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
1-8	BO104	1	la	la	linguistic	none	_	_	_	_	_	_
1-9	BO104	1	ragazza	ragazza	linguistic	none	_	_	_	_	_	_
1-10	BO104	1	per	per	linguistic	none	_	_	_	_	_	_
1-11	BO104	1	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
1-12	BO104	1	le	le	linguistic	none	_	_	_	_	_	_
1-13	BO104	1	regstrazioni?	regstrazioni	linguistic	none	Intonation=rising	End=22.999	_	_	_	_
2-0	BO144	2	xxx	x	unknown	none	_	Begin=23.065	_	_	_	_
2-1	BO144	2	il	il	linguistic	none	_	_	_	_	_	_
2-2	BO144	2	registratore	registratore	linguistic	none	_	_	_	_	_	_
2-3	BO144	2	e	e	linguistic	none	_	_	_	_	_	_
2-4	BO144	2	continuiamo::,	continuiamo	linguistic	none	Intonation=weakly_rising	End=25.607	10x2	_	_	_
3-0	BO104	3	ah,	ah	linguistic	none	Intonation=weakly_rising	Begin=25.8|End=26.104	_	_	_	_
4-0	BO104	4	okay	okay	linguistic	none	_	Begin=26.177	_	_	_	_
4-1	BO104	4	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
4-2	BO104	4	non	non	linguistic	none	_	_	_	_	_	_
4-3	BO104	4	abbiamo	abbiamo	linguistic	none	_	_	_	_	_	_
4-4	BO104	4	firmato	firmato	linguistic	none	_	_	_	_	_	_
4-5	BO104	4	nulla,	nulla	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
4-6	BO104	4	firmiamo	firmiamo	linguistic	none	_	_	_	_	_	_
4-7	BO104	4	dopo?	dopo	linguistic	none	Intonation=rising	End=28.757	_	_	_	_
5-0	BO144	5	io,	io	linguistic	none	Intonation=weakly_rising	Begin=28.82	_	_	_	_
5-1	BO144	5	ho	ho	linguistic	none	_	_	_	_	_	_
5-2	BO144	5	già	già	linguistic	none	_	_	_	_	_	_
5-3	BO144	5	firma[to].	firmato	linguistic	none	Intonation=falling	End=30.01	_	_	_	5-7(0)
6-0	BO104	6	ah	ah	linguistic	none	_	Begin=29.75	_	_	_	_
6-1	BO104	6	okay,	okay	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
6-2	BO104	6	du~	du~	linguistic	none	Interrupted=Yes	_	_	_	_	_
6-3	BO104	6	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
6-4	BO104	6	va	va	linguistic	none	_	_	_	_	_	_
6-5	BO104	6	b[eh,	beh	linguistic	none	Intonation=weakly_rising	_	_	_	_	1-3(?)
6-6	BO104	6	firmerò	firmerò	linguistic	none	_	_	_	_	_	0-7(?)
6-7	BO104	6	dopo	dopo	linguistic	none	_	_	_	_	_	0-4(?)
6-8	BO104	6	io	io	linguistic	none	_	_	_	_	_	0-2(?)
6-9	BO104	6	va	va	linguistic	none	_	_	_	_	_	0-2(?)
6-10	BO104	6	bene].	bene	linguistic	none	Intonation=falling	End=32.24	_	_	_	0-4(?)
7-0	BO144	7	[xxxxxxx	x	unknown	none	_	Begin=30.831	_	_	_	0-7(1)
7-1	BO144	7	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	0-3(1)
7-2	BO144	7	oka]y.	okay	linguistic	none	Intonation=falling	End=32.444	_	_	_	0-3(1)
8-0	BO104	8	°arrivo	arrivo	linguistic	none	Volume=low	Begin=53.059	_	_	_	_
8-1	BO104	8	subito	subito	linguistic	none	Volume=low	_	_	_	_	_
8-2	BO104	8	e:h,°	eh	linguistic	none	Intonation=weakly_rising|Volume=low	End=54.062	0x1	_	_	_
9-0	BO104	9	hai	hai	linguistic	none	_	Begin=55.4	_	_	_	_
9-1	BO104	9	un	un	linguistic	none	_	_	_	_	_	_
9-2	BO104	9	documento?	documento	linguistic	none	Intonation=rising	End=56.325	_	_	_	_
10-0	BO144	10	sì,	sì	linguistic	none	Intonation=weakly_rising	Begin=56.49|End=56.86	_	_	_	_
11-0	BO104	11	°grazie.°	grazie	linguistic	none	Intonation=falling|Volume=low	Begin=64.843|End=65.45	_	_	_	_
12-0	BO104	12	okay,	okay	linguistic	none	Intonation=weakly_rising	Begin=92.444	_	_	_	_
12-1	BO104	12	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
